cliente_id,risco_agente,tipologia_suspeita,justificativa,ferramentas_usadas,total_tokens,latencia_total_segundos,custo_total_estimado_usd,eventos_fracionamento,eventos_valor_atipico,total_eventos,risco_deterministico,concordancia,resultado_confronto,quem_parece_mais_adequado,analise_divergencia
CLI-029,médio,concentração de operações fracionadas em um único dia,"O cliente possui 16 operações no histórico, com volume total de 191.385,766 BRL e mediana de 10.337,485 BRL. As 4 operações sinalizadas por fracionamento ocorreram todas no mesmo dia (26/05/2026) e somam aproximadamente 73.000 BRL, representando uma concentração significativa de movimentação em um curto período. Embora não haja sinalização de valor atípico, a repetição de fracionamento em um único dia pode indicar tentativa de mascarar a origem ou destino de recursos. O volume das operações individuais está dentro da faixa típica do cliente, mas a concentração temporal é anômala em relação ao histórico geral.","[""operacoes_sinalizadas"", ""operacoes_do_dia"", ""historico_cliente""]",6776,2.516630599857308,0.0007161,1,0,1,médio,True,concordante,-,-
CLI-017,médio,concentração de operações em um único dia com fracionamento,"A concentração de quatro transações de fracionamento em um único dia indica um padrão de comportamento que pode ser relevante para a prevenção à lavagem de dinheiro. No entanto, a ausência de valores atípicos e a consistência do volume total do cliente com o histórico geral reduzem a probabilidade de atividade ilícita. O perfil geral do cliente não apresenta outras anomalias significativas.","[""operacoes_sinalizadas"", ""operacoes_do_dia"", ""historico_cliente""]",6647,32.52428339980543,0.0006620999999999,1,0,1,médio,True,concordante,-,-
CLI-002,médio,concentração de operações fracionadas em curto prazo,"O cliente apresenta um padrão de fracionamento de valores em um único dia, mas os valores individuais não são atípicos em relação ao histórico do cliente. A concentração temporal e a repetição de fracionamento são sinais de alerta, mas não indicam, por si só, atividade ilícita. A ausência de valores atípicos reduz a gravidade do risco.","[""operacoes_sinalizadas"", ""operacoes_do_dia"", ""historico_cliente""]",6952,48.28352970001288,0.0007270499999999,1,0,1,médio,True,concordante,-,-
CLI-003,médio,fracionamento de valor em dia único,"O histórico do cliente mostra 14 operações no total, com 4 já sinalizadas por fracionamento. A concentração de todas as operações sinalizadas em um único dia sugere um padrão de fracionamento que pode indicar tentativa de estruturação. Contudo, os valores das operações não excedem o maior valor histórico e não há sinalização de valor atípico, o que reduz a evidência de atividade ilícita. Ainda assim, a concentração temporal é um fator de risco que justifica atenção adicional.","[""operacoes_sinalizadas"", ""operacoes_do_dia"", ""historico_cliente""]",6757,37.31522479990963,0.0006933,1,0,1,médio,True,concordante,-,-
CLI-014,baixo,valor_atipico em operações de alto valor,"As operações sinalizadas apresentam valores superiores à mediana histórica do cliente, mas são consistentes com o padrão de alto valor já presente no histórico (maior operação de 23640.97 BRL). Não há evidência de fracionamento, concentração temporal ou mudança de padrão de canais. Assim, o comportamento atual não indica um novo padrão suspeito além do já observado.","[""operacoes_sinalizadas"", ""historico_cliente""]",4114,25.021938599995337,0.0004390499999999,0,3,3,alto,False,divergente,nenhum dos dois isoladamente,"A regra determinística classificou o cliente como risco alto porque três operações foram identificadas como valores atípicos. Esse critério é objetivo, mas pode superestimar o risco ao tratar a repetição da mesma regra como evidência suficiente para risco alto. Por outro lado, classificar o caso como baixo parece permissivo diante da existência de três operações que ultrapassaram o limiar de atipicidade. Uma classificação intermediária de risco médio parece mais proporcional, mantendo o caso priorizado para revisão humana sem transformar os alertas em comprovação de ilícito."
CLI-023,baixo,valor_atipico em depósito e transferência,"O histórico financeiro do cliente mostra 12 operações, com volume total de R$ 148.535,16 e mediana de R$ 3.241,16. As duas operações sinalizadas são as maiores do histórico e correspondem ao padrão de valor atípico já registrado (2 operações atípicas). Não há fracionamento, nem concentração de operações em uma única data. A distribuição de canais não apresenta anomalias relevantes. Assim, as operações sinalizadas não indicam um comportamento fora do padrão histórico do cliente.","[""operacoes_sinalizadas"", ""historico_cliente""]",4262,17.298541499883868,0.000508425,0,2,2,alto,False,divergente,nenhum dos dois isoladamente,"A regra determinística elevou o caso para risco alto pela existência de duas operações de valor atípico. O agente reduziu para baixo após considerar o histórico, mas as próprias evidências indicam que essas operações estão entre as maiores movimentações do cliente. Assim, risco alto parece excessivo para uma única tipologia simples, enquanto risco baixo reduz demais a importância dos alertas. Risco médio seria uma priorização mais equilibrada para análise humana adicional."
CLI-028,médio,Transferências de alto valor concentradas em um único dia,"O cliente possui 12 operações no histórico, com média de valor muito menor (mediana 4.430,25 BRL). As duas maiores operações foram sinalizadas como valor atípico e ocorreram no mesmo dia, indicando uma concentração de transações de alto valor. Não há evidência de fracionamento ou de outras operações atípicas no mesmo período.","[""operacoes_sinalizadas"", ""operacoes_do_dia"", ""historico_cliente""]",6432,30.080217799870297,0.00071325,0,2,2,alto,False,divergente,"agente, com revisão humana","A regra determinística classificou o cliente como alto porque duas operações acionaram a mesma regra de valor atípico. O agente manteve o caso em risco médio, reconhecendo a concentração das operações de maior valor sem tratar automaticamente dois alertas da mesma tipologia como risco alto. Essa classificação parece mais proporcional às evidências disponíveis, mantendo a necessidade de revisão sem concluir ocorrência de ilícito."
CLI-013,médio,concentração de operações de alto valor em um único dia,"As duas operações sinalizadas representam a maior parte do volume total do cliente e ocorreram no mesmo dia, indicando uma concentração de valor atípico. Embora não haja fracionamento nem outras operações suspeitas, a ocorrência simultânea de duas transações de alto valor em um único dia é um padrão que pode indicar tentativa de ocultar a origem de recursos ou facilitar movimentação de fundos. O histórico geral do cliente mostra poucos casos de valor atípico (2 de 10 operações) e nenhuma operação fracionada, o que reforça que o padrão observado é atípico em relação ao comportamento habitual.","[""operacoes_sinalizadas"", ""operacoes_do_dia"", ""historico_cliente""]",6020,30.81280479999259,0.0006468,0,2,2,alto,False,divergente,"agente na classificação, com ressalva na justificativa","A classificação de risco médio do agente parece mais proporcional do que o risco alto produzido automaticamente pela repetição da regra de valor atípico. Entretanto, a justificativa do agente fez uma inferência excessiva ao sugerir possível intenção de ocultar a origem dos recursos. Os dados permitem afirmar que houve concentração de operações atípicas, mas não permitem inferir intenção criminosa. Portanto, a classificação do agente parece razoável, porém sua justificativa deveria ser mais conservadora."
CLI-005,baixo,valor_atipico em operações de pagamento e transferência recebida,"As duas operações sinalizadas são as maiores do histórico do cliente e apresentam valor atípico, mas não há concentração temporal, fracionamento ou outros padrões de risco. O histórico geral mostra que valores semelhantes já ocorreram sem sinais adicionais de irregularidade. Assim, não há evidências suficientes para indicar lavagem de dinheiro ou fraude.","[""operacoes_sinalizadas"", ""historico_cliente""]",4118,22.13775880006142,0.0004564499999999,0,2,2,alto,False,divergente,nenhum dos dois isoladamente,"A regra determinística atribuiu risco alto pela existência de duas operações de valor atípico, mas não considera outras características do histórico. O agente, por outro lado, reduziu o caso para risco baixo. Mesmo sem outros sinais corroborantes, duas operações que acionaram a regra ainda justificam priorização. Assim, risco médio parece uma posição mais proporcional entre o excesso de sensibilidade da regra e a classificação mais permissiva do agente."
CLI-026,médio,valor atípico em transações de alto valor,"As duas operações sinalizadas são de alto valor e foram marcadas como atípicas, mas correspondem ao maior valor já registrado no histórico do cliente e não apresentam fracionamento nem concentração em uma única data. O perfil geral do cliente mostra 12 transações, 2 com valor atípico, o que indica um padrão de risco moderado, mas não evidencia um comportamento anômalo que justifique suspeita de lavagem de dinheiro.","[""operacoes_sinalizadas"", ""historico_cliente""]",4117,15.10916709981393,0.000467175,0,2,2,alto,False,divergente,"agente, com revisão humana","A regra determinística classificou o cliente como alto apenas porque duas operações acionaram a mesma regra de valor atípico. O agente reconheceu essas operações, mas não identificou evidências suficientes para elevar automaticamente o caso ao nível máximo de priorização. O risco médio parece mais proporcional às informações disponíveis e preserva a necessidade de acompanhamento humano."
